Latitude,Longitude,Fecha,Fallecidos,CCAA
28.29357850,-16.6214471,22,0,Canarias
43.15956640,-4.0878382,22,0,Cantabria
41.80371720,-4.7471726,22,0,Castilla y León
39.41779020,-2.6232332,22,0,Castilla La Mancha
41.85230940,1.5745043,22,0,Cataluña
39.68195910,-0.7654406,22,0,C. Valenciana
39.17484260,-6.1529891,22,0,Extremadura
42.61946000,-7.8631120,22,0,Galicia
40.41670470,-3.7035825,22,0,Madrid
37.99237950,-1.1305431,22,0,Murcia
42.61254875,-1.8307877,22,0,Navarra
42.99118160,-2.5543023,22,0,País Vasco
42.28146420,-2.4828050,22,0,La Rioja
35.89442195,-5.3558174,22,0,Ceuta
35.29291145,-2.9507202,22,0,Melilla
37.33999640,-4.5811614,23,0,Andalucía
41.37872910,-0.7639373,23,0,Aragón
43.31338680,-5.9419200,23,0,Asturias
39.61343200,2.8829185,23,0,Baleares
28.29357850,-16.6214471,23,0,Canarias
43.15956640,-4.0878382,23,0,Cantabria
41.80371720,-4.7471726,23,0,Castilla y León
39.41779020,-2.6232332,23,0,Castilla La Mancha
41.85230940,1.5745043,23,0,Cataluña
39.68195910,-0.7654406,23,0,C. Valenciana
39.17484260,-6.1529891,23,0,Extremadura
42.61946000,-7.8631120,23,0,Galicia
40.41670470,-3.7035825,23,0,Madrid
37.99237950,-1.1305431,23,0,Murcia
42.61254875,-1.8307877,23,0,Navarra
42.99118160,-2.5543023,23,0,País Vasco
42.28146420,-2.4828050,23,0,La Rioja
35.89442195,-5.3558174,23,0,Ceuta
35.29291145,-2.9507202,23,0,Melilla
37.33999640,-4.5811614,24,0,Andalucía
41.37872910,-0.7639373,24,0,Aragón
43.31338680,-5.9419200,24,0,Asturias
39.61343200,2.8829185,24,0,Baleares
28.29357850,-16.6214471,24,0,Canarias
43.15956640,-4.0878382,24,0,Cantabria
41.80371720,-4.7471726,24,0,Castilla y León
39.41779020,-2.6232332,24,0,Castilla La Mancha
41.85230940,1.5745043,24,0,Cataluña
39.68195910,-0.7654406,24,0,C. Valenciana
39.17484260,-6.1529891,24,0,Extremadura
42.61946000,-7.8631120,24,0,Galicia
40.41670470,-3.7035825,24,0,Madrid
37.99237950,-1.1305431,24,0,Murcia
42.61254875,-1.8307877,24,0,Navarra
42.99118160,-2.5543023,24,0,País Vasco
42.28146420,-2.4828050,24,0,La Rioja
35.89442195,-5.3558174,24,0,Ceuta
35.29291145,-2.9507202,24,0,Melilla
37.33999640,-4.5811614,25,0,Andalucía
41.37872910,-0.7639373,25,0,Aragón
43.31338680,-5.9419200,25,0,Asturias
39.61343200,2.8829185,25,0,Baleares
28.29357850,-16.6214471,25,0,Canarias
43.15956640,-4.0878382,25,0,Cantabria
41.80371720,-4.7471726,25,0,Castilla y León
39.41779020,-2.6232332,25,0,Castilla La Mancha
41.85230940,1.5745043,25,0,Cataluña
39.68195910,-0.7654406,25,0,C. Valenciana
39.17484260,-6.1529891,25,0,Extremadura
42.61946000,-7.8631120,25,0,Galicia
40.41670470,-3.7035825,25,0,Madrid
37.99237950,-1.1305431,25,0,Murcia
42.61254875,-1.8307877,25,0,Navarra
42.99118160,-2.5543023,25,0,País Vasco
42.28146420,-2.4828050,25,0,La Rioja
35.89442195,-5.3558174,25,0,Ceuta
35.29291145,-2.9507202,25,0,Melilla
37.33999640,-4.5811614,26,0,Andalucía
41.37872910,-0.7639373,26,0,Aragón
43.31338680,-5.9419200,26,0,Asturias
39.61343200,2.8829185,26,0,Baleares
28.29357850,-16.6214471,26,0,Canarias
43.15956640,-4.0878382,26,0,Cantabria
41.80371720,-4.7471726,26,0,Castilla y León
39.41779020,-2.6232332,26,0,Castilla La Mancha
41.85230940,1.5745043,26,0,Cataluña
39.68195910,-0.7654406,26,0,C. Valenciana
39.17484260,-6.1529891,26,0,Extremadura
42.61946000,-7.8631120,26,0,Galicia
40.41670470,-3.7035825,26,0,Madrid
37.99237950,-1.1305431,26,0,Murcia
42.61254875,-1.8307877,26,0,Navarra
42.99118160,-2.5543023,26,0,País Vasco
42.28146420,-2.4828050,26,0,La Rioja
35.89442195,-5.3558174,26,0,Ceuta
35.29291145,-2.9507202,26,0,Melilla
37.33999640,-4.5811614,27,0,Andalucía
41.37872910,-0.7639373,27,0,Aragón
43.31338680,-5.9419200,27,0,Asturias
39.61343200,2.8829185,27,0,Baleares
28.29357850,-16.6214471,27,0,Canarias
43.15956640,-4.0878382,27,0,Cantabria
41.80371720,-4.7471726,27,0,Castilla y León
39.41779020,-2.6232332,27,0,Castilla La Mancha
41.85230940,1.5745043,27,0,Cataluña
39.68195910,-0.7654406,27,0,C. Valenciana
39.17484260,-6.1529891,27,0,Extremadura
42.61946000,-7.8631120,27,0,Galicia
40.41670470,-3.7035825,27,0,Madrid
37.99237950,-1.1305431,27,0,Murcia
42.61254875,-1.8307877,27,0,Navarra
42.99118160,-2.5543023,27,0,País Vasco
42.28146420,-2.4828050,27,0,La Rioja
35.89442195,-5.3558174,27,0,Ceuta
35.29291145,-2.9507202,27,0,Melilla
37.33999640,-4.5811614,28,0,Andalucía
41.37872910,-0.7639373,28,0,Aragón
43.31338680,-5.9419200,28,0,Asturias
39.61343200,2.8829185,28,0,Baleares
28.29357850,-16.6214471,28,0,Canarias
43.15956640,-4.0878382,28,0,Cantabria
41.80371720,-4.7471726,28,0,Castilla y León
39.41779020,-2.6232332,28,0,Castilla La Mancha
41.85230940,1.5745043,28,0,Cataluña
39.68195910,-0.7654406,28,0,C. Valenciana
39.17484260,-6.1529891,28,0,Extremadura
42.61946000,-7.8631120,28,0,Galicia
40.41670470,-3.7035825,28,0,Madrid
37.99237950,-1.1305431,28,0,Murcia
42.61254875,-1.8307877,28,0,Navarra
42.99118160,-2.5543023,28,0,País Vasco
42.28146420,-2.4828050,28,0,La Rioja
35.89442195,-5.3558174,28,0,Ceuta
35.29291145,-2.9507202,28,0,Melilla
37.33999640,-4.5811614,29,0,Andalucía
41.37872910,-0.7639373,29,0,Aragón
43.31338680,-5.9419200,29,0,Asturias
39.61343200,2.8829185,29,0,Baleares
28.29357850,-16.6214471,29,0,Canarias
43.15956640,-4.0878382,29,0,Cantabria
41.80371720,-4.7471726,29,0,Castilla y León
39.41779020,-2.6232332,29,0,Castilla La Mancha
41.85230940,1.5745043,29,0,Cataluña
39.68195910,-0.7654406,29,0,C. Valenciana
39.17484260,-6.1529891,29,0,Extremadura
42.61946000,-7.8631120,29,0,Galicia
40.41670470,-3.7035825,29,0,Madrid
37.99237950,-1.1305431,29,0,Murcia
42.61254875,-1.8307877,29,0,Navarra
42.99118160,-2.5543023,29,0,País Vasco
42.28146420,-2.4828050,29,0,La Rioja
35.89442195,-5.3558174,29,0,Ceuta
35.29291145,-2.9507202,29,0,Melilla
37.33999640,-4.5811614,30,0,Andalucía
41.37872910,-0.7639373,30,0,Aragón
43.31338680,-5.9419200,30,0,Asturias
39.61343200,2.8829185,30,0,Baleares
28.29357850,-16.6214471,30,0,Canarias
43.15956640,-4.0878382,30,0,Cantabria
41.80371720,-4.7471726,30,0,Castilla y León
39.41779020,-2.6232332,30,0,Castilla La Mancha
41.85230940,1.5745043,30,0,Cataluña
39.68195910,-0.7654406,30,0,C. Valenciana
39.17484260,-6.1529891,30,0,Extremadura
42.61946000,-7.8631120,30,0,Galicia
40.41670470,-3.7035825,30,0,Madrid
37.99237950,-1.1305431,30,0,Murcia
42.61254875,-1.8307877,30,0,Navarra
42.99118160,-2.5543023,30,0,País Vasco
42.28146420,-2.4828050,30,0,La Rioja
35.89442195,-5.3558174,30,0,Ceuta
35.29291145,-2.9507202,30,0,Melilla
37.33999640,-4.5811614,31,0,Andalucía
41.37872910,-0.7639373,31,0,Aragón
43.31338680,-5.9419200,31,0,Asturias
39.61343200,2.8829185,31,0,Baleares
28.29357850,-16.6214471,31,0,Canarias
43.15956640,-4.0878382,31,0,Cantabria
41.80371720,-4.7471726,31,0,Castilla y León
39.41779020,-2.6232332,31,0,Castilla La Mancha
41.85230940,1.5745043,31,0,Cataluña
39.68195910,-0.7654406,31,0,C. Valenciana
39.17484260,-6.1529891,31,0,Extremadura
42.61946000,-7.8631120,31,0,Galicia
40.41670470,-3.7035825,31,0,Madrid
37.99237950,-1.1305431,31,0,Murcia
42.61254875,-1.8307877,31,0,Navarra
42.99118160,-2.5543023,31,0,País Vasco
42.28146420,-2.4828050,31,0,La Rioja
35.89442195,-5.3558174,31,0,Ceuta
35.29291145,-2.9507202,31,0,Melilla
37.33999640,-4.5811614,32,0,Andalucía
