Latitude,Longitude,Casos,Fecha,CCAA
37.3399964,-4.5811614,0,19,Andalucía
41.3787291,-0.7639373,0,19,Aragón
43.3133868,-5.94192,0,19,Asturias
39.613432,2.882918453,0,19,Baleares
28.2935785,-16.62144712,0,19,Canarias
43.1595664,-4.0878382,0,19,Cantabria
41.8037172,-4.7471726,0,19,Castilla y León
39.4177902,-2.6232332,0,19,Castilla La Mancha
41.8523094,1.5745043,1,19,Cataluña
39.6819591,-0.7654406,0,19,C. Valenciana
39.1748426,-6.1529891,0,19,Extremadura
42.61946,-7.863112,0,19,Galicia
40.4167047,-3.7035825,1,19,Madrid
37.9923795,-1.1305431,1,19,Murcia
42.61254875,-1.830787673,0,19,Navarra
42.9911816,-2.5543023,0,19,País Vasco
42.2814642,-2.482804975,1,19,La Rioja
35.89442195,-5.355817352,0,19,Ceuta
35.29291145,-2.950720236,0,19,Melilla
37.3399964,-4.5811614,0,20,Andalucía
41.3787291,-0.7639373,0,20,Aragón
43.3133868,-5.94192,0,20,Asturias
39.613432,2.882918453,0,20,Baleares
28.2935785,-16.62144712,0,20,Canarias
43.1595664,-4.0878382,0,20,Cantabria
41.8037172,-4.7471726,0,20,Castilla y León
39.4177902,-2.6232332,0,20,Castilla La Mancha
41.8523094,1.5745043,1,20,Cataluña
39.6819591,-0.7654406,0,20,C. Valenciana
39.1748426,-6.1529891,0,20,Extremadura
42.61946,-7.863112,1,20,Galicia
40.4167047,-3.7035825,1,20,Madrid
37.9923795,-1.1305431,1,20,Murcia
42.61254875,-1.830787673,0,20,Navarra
42.9911816,-2.5543023,0,20,País Vasco
42.2814642,-2.482804975,1,20,La Rioja
35.89442195,-5.355817352,0,20,Ceuta
35.29291145,-2.950720236,0,20,Melilla
37.3399964,-4.5811614,0,21,Andalucía
41.3787291,-0.7639373,0,21,Aragón
43.3133868,-5.94192,0,21,Asturias
39.613432,2.882918453,0,21,Baleares
28.2935785,-16.62144712,0,21,Canarias
43.1595664,-4.0878382,0,21,Cantabria
41.8037172,-4.7471726,0,21,Castilla y León
39.4177902,-2.6232332,0,21,Castilla La Mancha
41.8523094,1.5745043,1,21,Cataluña
39.6819591,-0.7654406,0,21,C. Valenciana
39.1748426,-6.1529891,0,21,Extremadura
42.61946,-7.863112,1,21,Galicia
40.4167047,-3.7035825,1,21,Madrid
37.9923795,-1.1305431,1,21,Murcia
42.61254875,-1.830787673,0,21,Navarra
42.9911816,-2.5543023,0,21,País Vasco
42.2814642,-2.482804975,1,21,La Rioja
35.89442195,-5.355817352,0,21,Ceuta
35.29291145,-2.950720236,0,21,Melilla
37.3399964,-4.5811614,0,22,Andalucía
41.3787291,-0.7639373,0,22,Aragón
43.3133868,-5.94192,0,22,Asturias
39.613432,2.882918453,0,22,Baleares
28.2935785,-16.62144712,0,22,Canarias
43.1595664,-4.0878382,0,22,Cantabria
41.8037172,-4.7471726,0,22,Castilla y León
39.4177902,-2.6232332,0,22,Castilla La Mancha
41.8523094,1.5745043,1,22,Cataluña
39.6819591,-0.7654406,0,22,C. Valenciana
39.1748426,-6.1529891,0,22,Extremadura
42.61946,-7.863112,1,22,Galicia
40.4167047,-3.7035825,1,22,Madrid
37.9923795,-1.1305431,1,22,Murcia
42.61254875,-1.830787673,0,22,Navarra
42.9911816,-2.5543023,0,22,País Vasco
42.2814642,-2.482804975,1,22,La Rioja
35.89442195,-5.355817352,0,22,Ceuta
35.29291145,-2.950720236,0,22,Melilla
37.3399964,-4.5811614,0,23,Andalucía
41.3787291,-0.7639373,0,23,Aragón
43.3133868,-5.94192,0,23,Asturias
39.613432,2.882918453,0,23,Baleares
28.2935785,-16.62144712,0,23,Canarias
43.1595664,-4.0878382,0,23,Cantabria
41.8037172,-4.7471726,0,23,Castilla y León
39.4177902,-2.6232332,0,23,Castilla La Mancha
41.8523094,1.5745043,1,23,Cataluña
39.6819591,-0.7654406,0,23,C. Valenciana
39.1748426,-6.1529891,0,23,Extremadura
42.61946,-7.863112,1,23,Galicia
40.4167047,-3.7035825,1,23,Madrid
37.9923795,-1.1305431,1,23,Murcia
42.61254875,-1.830787673,0,23,Navarra
42.9911816,-2.5543023,0,23,País Vasco
42.2814642,-2.482804975,1,23,La Rioja
35.89442195,-5.355817352,0,23,Ceuta
35.29291145,-2.950720236,0,23,Melilla
37.3399964,-4.5811614,0,24,Andalucía
41.3787291,-0.7639373,0,24,Aragón
43.3133868,-5.94192,0,24,Asturias
39.613432,2.882918453,0,24,Baleares
28.2935785,-16.62144712,0,24,Canarias
43.1595664,-4.0878382,0,24,Cantabria
41.8037172,-4.7471726,0,24,Castilla y León
39.4177902,-2.6232332,0,24,Castilla La Mancha
41.8523094,1.5745043,1,24,Cataluña
39.6819591,-0.7654406,0,24,C. Valenciana
39.1748426,-6.1529891,0,24,Extremadura
42.61946,-7.863112,1,24,Galicia
40.4167047,-3.7035825,1,24,Madrid
37.9923795,-1.1305431,1,24,Murcia
42.61254875,-1.830787673,0,24,Navarra
42.9911816,-2.5543023,0,24,País Vasco
42.2814642,-2.482804975,1,24,La Rioja
35.89442195,-5.355817352,0,24,Ceuta
35.29291145,-2.950720236,0,24,Melilla
37.3399964,-4.5811614,0,25,Andalucía
41.3787291,-0.7639373,0,25,Aragón
43.3133868,-5.94192,0,25,Asturias
39.613432,2.882918453,0,25,Baleares
28.2935785,-16.62144712,0,25,Canarias
43.1595664,-4.0878382,0,25,Cantabria
41.8037172,-4.7471726,0,25,Castilla y León
39.4177902,-2.6232332,0,25,Castilla La Mancha
41.8523094,1.5745043,1,25,Cataluña
39.6819591,-0.7654406,0,25,C. Valenciana
39.1748426,-6.1529891,0,25,Extremadura
42.61946,-7.863112,1,25,Galicia
40.4167047,-3.7035825,1,25,Madrid
37.9923795,-1.1305431,1,25,Murcia
42.61254875,-1.830787673,0,25,Navarra
42.9911816,-2.5543023,0,25,País Vasco
42.2814642,-2.482804975,1,25,La Rioja
35.89442195,-5.355817352,0,25,Ceuta
35.29291145,-2.950720236,0,25,Melilla
37.3399964,-4.5811614,0,26,Andalucía
41.3787291,-0.7639373,0,26,Aragón
43.3133868,-5.94192,0,26,Asturias
39.613432,2.882918453,0,26,Baleares
28.2935785,-16.62144712,0,26,Canarias
43.1595664,-4.0878382,0,26,Cantabria
41.8037172,-4.7471726,0,26,Castilla y León
39.4177902,-2.6232332,0,26,Castilla La Mancha
41.8523094,1.5745043,1,26,Cataluña
39.6819591,-0.7654406,0,26,C. Valenciana
39.1748426,-6.1529891,0,26,Extremadura
42.61946,-7.863112,1,26,Galicia
40.4167047,-3.7035825,1,26,Madrid
37.9923795,-1.1305431,1,26,Murcia
42.61254875,-1.830787673,0,26,Navarra
42.9911816,-2.5543023,0,26,País Vasco
42.2814642,-2.482804975,1,26,La Rioja
35.89442195,-5.355817352,0,26,Ceuta
35.29291145,-2.950720236,0,26,Melilla
37.3399964,-4.5811614,0,27,Andalucía
41.3787291,-0.7639373,0,27,Aragón
43.3133868,-5.94192,0,27,Asturias
39.613432,2.882918453,0,27,Baleares
28.2935785,-16.62144712,0,27,Canarias
43.1595664,-4.0878382,0,27,Cantabria
41.8037172,-4.7471726,0,27,Castilla y León
39.4177902,-2.6232332,0,27,Castilla La Mancha
41.8523094,1.5745043,1,27,Cataluña
39.6819591,-0.7654406,0,27,C. Valenciana
39.1748426,-6.1529891,0,27,Extremadura
42.61946,-7.863112,1,27,Galicia
40.4167047,-3.7035825,1,27,Madrid
37.9923795,-1.1305431,1,27,Murcia
42.61254875,-1.830787673,0,27,Navarra
42.9911816,-2.5543023,0,27,País Vasco
42.2814642,-2.482804975,1,27,La Rioja
35.89442195,-5.355817352,0,27,Ceuta
35.29291145,-2.950720236,0,27,Melilla
37.3399964,-4.5811614,0,28,Andalucía
41.3787291,-0.7639373,0,28,Aragón
43.3133868,-5.94192,0,28,Asturias
39.613432,2.882918453,0,28,Baleares
28.2935785,-16.62144712,0,28,Canarias
43.1595664,-4.0878382,0,28,Cantabria
41.8037172,-4.7471726,0,28,Castilla y León
39.4177902,-2.6232332,0,28,Castilla La Mancha
41.8523094,1.5745043,1,28,Cataluña
39.6819591,-0.7654406,0,28,C. Valenciana
39.1748426,-6.1529891,0,28,Extremadura
42.61946,-7.863112,1,28,Galicia
40.4167047,-3.7035825,1,28,Madrid
37.9923795,-1.1305431,1,28,Murcia
42.61254875,-1.830787673,0,28,Navarra
42.9911816,-2.5543023,0,28,País Vasco
42.2814642,-2.482804975,1,28,La Rioja
35.89442195,-5.355817352,0,28,Ceuta
35.29291145,-2.950720236,0,28,Melilla
37.3399964,-4.5811614,0,29,Andalucía
41.3787291,-0.7639373,0,29,Aragón
43.3133868,-5.94192,0,29,Asturias
39.613432,2.882918453,0,29,Baleares
28.2935785,-16.62144712,0,29,Canarias
43.1595664,-4.0878382,0,29,Cantabria
41.8037172,-4.7471726,0,29,Castilla y León
39.4177902,-2.6232332,0,29,Castilla La Mancha
41.8523094,1.5745043,1,29,Cataluña
39.6819591,-0.7654406,0,29,C. Valenciana
39.1748426,-6.1529891,0,29,Extremadura
42.61946,-7.863112,1,29,Galicia
40.4167047,-3.7035825,1,29,Madrid
37.9923795,-1.1305431,1,29,Murcia
42.61254875,-1.830787673,0,29,Navarra
42.9911816,-2.5543023,0,29,País Vasco
42.2814642,-2.482804975,1,29,La Rioja
35.89442195,-5.355817352,0,29,Ceuta
35.29291145,-2.950720236,0,29,Melilla
37.3399964,-4.5811614,0,30,Andalucía
41.3787291,-0.7639373,0,30,Aragón
43.3133868,-5.94192,0,30,Asturias
39.613432,2.882918453,0,30,Baleares
28.2935785,-16.62144712,1,30,Canarias
43.1595664,-4.0878382,0,30,Cantabria
41.8037172,-4.7471726,0,30,Castilla y León
39.4177902,-2.6232332,0,30,Castilla La Mancha
41.8523094,1.5745043,1,30,Cataluña
39.6819591,-0.7654406,0,30,C. Valenciana
39.1748426,-6.1529891,0,30,Extremadura
42.61946,-7.863112,1,30,Galicia
40.4167047,-3.7035825,1,30,Madrid
37.9923795,-1.1305431,1,30,Murcia
42.61254875,-1.830787673,0,30,Navarra
42.9911816,-2.5543023,0,30,País Vasco
